gabor
d:\CV\Project_2\olympus\olympus\pic.0022.jpg,0.0635468,0.0625885,0.0561432,0.177979,0.0485321,0.171414,0.0397644,0.0400116,0.0454102,0.0389191,0.0458038,0.0398743,0.0435059,0.0524353,0.070108,0.00396423,
d:\CV\Project_2\olympus\olympus\pic.0023.jpg,0.0487488,0.0572754,0.0496948,0.180725,0.0544464,0.173199,0.0485168,0.05448,0.0462036,0.0454132,0.0446777,0.0450226,0.0514069,0.0451385,0.0522766,0.00277405,
d:\CV\Project_2\olympus\olympus\pic.0024.jpg,0.0479584,0.0544617,0.0475128,0.171481,0.0621002,0.17001,0.0471497,0.0470062,0.0461121,0.0602905,0.0458191,0.0536346,0.0477386,0.0474792,0.0483734,0.0028717,
d:\CV\Project_2\olympus\olympus\pic.0025.jpg,0.0476959,0.056723,0.0479309,0.17926,0.0476227,0.170456,0.0525818,0.0468323,0.0529602,0.0460571,0.0465363,0.0468262,0.0608765,0.0470703,0.0478027,0.00276794,
d:\CV\Project_2\olympus\olympus\pic.0026.jpg,0.0467743,0.0488678,0.0536316,0.172067,0.0476715,0.17652,0.0462738,0.0473389,0.0457977,0.0535645,0.055249,0.0474487,0.0536224,0.0555328,0.0466888,0.00295105,
d:\CV\Project_2\olympus\olympus\pic.0027.jpg,0.0560699,0.0481232,0.0471436,0.180011,0.0457764,0.17908,0.0462097,0.0524963,0.0467316,0.046875,0.05354,0.0472504,0.054071,0.0466064,0.0472748,0.00274048,
d:\CV\Project_2\olympus\olympus\pic.0028.jpg,0.0545959,0.0462677,0.0453888,0.176779,0.0450684,0.165884,0.0467102,0.0528381,0.0523834,0.0468079,0.0478973,0.0486176,0.0591614,0.0587921,0.0499756,0.00283203,
d:\CV\Project_2\olympus\olympus\pic.0029.jpg,0.047879,0.0536926,0.0526123,0.172141,0.0492432,0.175034,0.0476562,0.0475098,0.0472595,0.0466888,0.0469696,0.0552002,0.0470764,0.0529602,0.0553436,0.00273437,
d:\CV\Project_2\olympus\olympus\pic.0030.jpg,0.0470551,0.0468048,0.0536011,0.172086,0.0774078,0.13876,0.0641602,0.0466003,0.0468384,0.0548798,0.0469116,0.0553833,0.0465973,0.0535309,0.0465973,0.00278625,
d:\CV\Project_2\olympus\olympus\pic.0031.jpg,0.0547943,0.0477692,0.048996,0.187396,0.0492767,0.173218,0.0537476,0.046875,0.0463043,0.0546631,0.0459625,0.0522064,0.0457489,0.0449005,0.0454956,0.00264587,
d:\CV\Project_2\olympus\olympus\pic.0032.jpg,0.0487549,0.0505096,0.0499329,0.175403,0.0486023,0.179831,0.0469818,0.0523346,0.044696,0.0515808,0.0506409,0.044458,0.0454346,0.0460022,0.0620056,0.00283203,
d:\CV\Project_2\olympus\olympus\pic.0033.jpg,0.0621368,0.055603,0.0505585,0.173682,0.040979,0.16478,0.0406494,0.041629,0.0432373,0.052475,0.0473663,0.0576843,0.05383,0.0567108,0.0555511,0.00312805,
d:\CV\Project_2\olympus\olympus\pic.0034.jpg,0.0463013,0.0459259,0.0470886,0.172238,0.0496765,0.176312,0.0477814,0.0486481,0.0616852,0.0555664,0.0553741,0.0470581,0.0455261,0.0531189,0.0450317,0.00266724,
d:\CV\Project_2\olympus\olympus\pic.0035.jpg,0.0529083,0.0525696,0.0456055,0.170593,0.0470795,0.17243,0.0480713,0.0492279,0.0568817,0.0492523,0.0485168,0.0481537,0.0532654,0.0457916,0.0506927,0.00895996,
d:\CV\Project_2\olympus\olympus\pic.0036.jpg,0.0472656,0.0553162,0.0472656,0.171988,0.0780945,0.141055,0.0550842,0.0464996,0.0534485,0.0473938,0.0468323,0.0536194,0.0463898,0.0467438,0.0603058,0.00269775,
d:\CV\Project_2\olympus\olympus\pic.0037.jpg,0.0474915,0.0472748,0.0530518,0.180542,0.10968,0.106369,0.047821,0.0532166,0.0473663,0.0542664,0.0466187,0.0555695,0.0465973,0.0467743,0.0546692,0.00269165,
d:\CV\Project_2\olympus\olympus\pic.0038.jpg,0.0560333,0.0556305,0.0477509,0.171423,0.0465393,0.17565,0.0515747,0.0547302,0.046283,0.0451538,0.0460785,0.0526245,0.046814,0.046405,0.054541,0.00276794,
d:\CV\Project_2\olympus\olympus\pic.0039.jpg,0.0455231,0.0443481,0.043988,0.168997,0.0445282,0.17576,0.0527222,0.047345,0.0559998,0.0574005,0.0512177,0.0593445,0.0569763,0.0475403,0.0456726,0.00263672,
d:\CV\Project_2\olympus\olympus\pic.0040.jpg,0.0476227,0.0467194,0.0510834,0.188327,0.066684,0.181458,0.0444794,0.0431885,0.0493774,0.0483185,0.0428345,0.0432465,0.0444428,0.0534637,0.0460999,0.00265503,
d:\CV\Project_2\olympus\olympus\pic.0041.jpg,0.024292,0.0249023,0.0843323,0.150339,0.0252808,0.149182,0.0259949,0.0268402,0.154266,0.0276825,0.0848999,0.0797852,0.086322,0.0303894,0.024115,0.00137634,
d:\CV\Project_2\olympus\olympus\pic.0042.jpg,0.103519,0.0470703,0.0469971,0.165399,0.0473877,0.146423,0.0654877,0.0472107,0.0468689,0.0470856,0.046579,0.0464813,0.0470337,0.0471466,0.0465576,0.00275269,
d:\CV\Project_2\olympus\olympus\pic.0043.jpg,0.0632324,0.061441,0.0519928,0.175815,0.0535919,0.170291,0.0448517,0.0450562,0.0435181,0.0435486,0.0441345,0.0431732,0.0434875,0.057489,0.0556122,0.00276489,
d:\CV\Project_2\olympus\olympus\pic.0044.jpg,0.0540009,0.0552124,0.0472351,0.171463,0.0469513,0.171155,0.0471497,0.0613831,0.0468231,0.0529236,0.0533661,0.0467804,0.0471924,0.0482239,0.0472809,0.0028595,
d:\CV\Project_2\olympus\olympus\pic.0045.jpg,0.0492645,0.057843,0.0489075,0.185297,0.0473145,0.166708,0.0487671,0.0457123,0.0463226,0.0462891,0.0607361,0.0519165,0.0463409,0.0476135,0.0481964,0.002771,
d:\CV\Project_2\olympus\olympus\pic.0046.jpg,0.0470856,0.0529541,0.0617249,0.172086,0.0467316,0.169861,0.049234,0.0546661,0.0470337,0.0469971,0.0476654,0.0474762,0.0534393,0.053186,0.0472839,0.00257568,
d:\CV\Project_2\olympus\olympus\pic.0047.jpg,0.0388397,0.0371674,0.0594208,0.175903,0.0434479,0.161353,0.0522949,0.0447571,0.054071,0.0396027,0.0413116,0.0731659,0.0560181,0.0719727,0.0485474,0.00212708,
d:\CV\Project_2\olympus\olympus\pic.0048.jpg,0.0445923,0.0452026,0.0465973,0.179727,0.0489197,0.172784,0.0568481,0.0561768,0.0627045,0.0484772,0.0471252,0.0548187,0.0449188,0.0444733,0.044162,0.00247192,
d:\CV\Project_2\olympus\olympus\pic.0049.jpg,0.0564362,0.0549011,0.0477142,0.172766,0.0608856,0.170471,0.0532623,0.0464935,0.0468445,0.0464081,0.0457184,0.0464478,0.0470551,0.0469879,0.0548218,0.00278625,
d:\CV\Project_2\olympus\olympus\pic.0050.jpg,0.0489136,0.055423,0.0480164,0.180621,0.0537537,0.168695,0.0484589,0.0520782,0.0455872,0.0461243,0.0531647,0.046756,0.0541107,0.0476959,0.0478455,0.00275574,
d:\CV\Project_2\olympus\olympus\pic.0051.jpg,0.051178,0.0528473,0.0528687,0.188199,0.0540802,0.169595,0.0512939,0.0435089,0.0441711,0.0440613,0.0444092,0.0515472,0.0529327,0.0476257,0.0487732,0.00290833,
d:\CV\Project_2\olympus\olympus\pic.0052.jpg,0.0476501,0.0599091,0.0473724,0.171933,0.0544434,0.170111,0.0457062,0.0594604,0.0447998,0.045517,0.0509125,0.0449921,0.0532684,0.0485504,0.0525421,0.00283203,
